==Frequent itemsets (min_sup=0.1%)==
('hispanic', 'male')	 supp: 17.35%
('black non hispanic', 'ryan')	 supp: 0.11%
('asian and pacific islander', 'ella')	 supp: 0.11%
('asian and pacific islander', 'ella', 'female')	 supp: 0.11%
('2014', 'mason')	 supp: 0.11%
('hispanic', 'john')	 supp: 0.11%
('2014', 'male', 'mason')	 supp: 0.11%
('hispanic', 'john', 'male')	 supp: 0.11%
('2018', 'lucas')	 supp: 0.11%
('2018', 'lucas', 'male')	 supp: 0.11%
('2019', 'sophia')	 supp: 0.11%
('2019', 'female', 'sophia')	 supp: 0.11%
('2016', 'jayden')	 supp: 0.11%
('asian and pacific islander', 'oliver')	 supp: 0.11%
('2016', 'jayden', 'male')	 supp: 0.11%
('asian and pacific islander', 'male', 'oliver')	 supp: 0.11%
('2011', 'joshua')	 supp: 0.11%
('2012', 'dylan')	 supp: 0.11%
('asian and pacific islander', 'austin')	 supp: 0.11%
('2011', 'joshua', 'male')	 supp: 0.11%
('2012', 'dylan', 'male')	 supp: 0.11%
('asian and pacific islander', 'austin', 'male')	 supp: 0.11%
('2014', 'emily')	 supp: 0.11%
('2014', 'emily', 'female')	 supp: 0.11%
('2017', 'dylan')	 supp: 0.11%
('2015', 'lucas')	 supp: 0.11%
('2012', 'noah')	 supp: 0.11%
('hispanic', 'nicole')	 supp: 0.11%
('asian and pacific islander', 'mohammad')	 supp: 0.11%
('2017', 'dylan', 'male')	 supp: 0.11%
('2015', 'lucas', 'male')	 supp: 0.11%
('2012', 'male', 'noah')	 supp: 0.11%
('female', 'hispanic', 'nicole')	 supp: 0.11%
('asian and pacific islander', 'male', 'mohammad')	 supp: 0.11%
('2011', 'olivia')	 supp: 0.11%
('2016', 'ava')	 supp: 0.11%
('george', 'white non hispanic')	 supp: 0.11%
('hispanic', 'sarah')	 supp: 0.11%
('2011', 'female', 'olivia')	 supp: 0.11%
('2016', 'ava', 'female')	 supp: 0.11%
('george', 'male', 'white non hispanic')	 supp: 0.11%
('female', 'hispanic', 'sarah')	 supp: 0.11%
('2013', 'mason')	 supp: 0.11%
('2011', 'ryan')	 supp: 0.11%
('2013', 'male', 'mason')	 supp: 0.11%
('2011', 'male', 'ryan')	 supp: 0.11%
('hispanic', 'layla')	 supp: 0.11%
('female', 'hispanic', 'layla')	 supp: 0.11%
('black non hispanic', 'justin')	 supp: 0.11%
('female', 'shaindy')	 supp: 0.11%
('male', 'zion')	 supp: 0.11%
('black non hispanic', 'zion')	 supp: 0.11%
('female', 'natalie')	 supp: 0.11%
('black non hispanic', 'justin', 'male')	 supp: 0.11%
('black non hispanic', 'male', 'zion')	 supp: 0.11%
('2019', 'mia')	 supp: 0.11%
('hispanic', 'juan')	 supp: 0.11%
('juan', 'male')	 supp: 0.11%
('black non hispanic', 'christopher')	 supp: 0.11%
('female', 'harper')	 supp: 0.11%
('2019', 'female', 'mia')	 supp: 0.11%
('hispanic', 'juan', 'male')	 supp: 0.11%
('black non hispanic', 'christopher', 'male')	 supp: 0.11%
('2016', 'ryan')	 supp: 0.11%
('2016', 'male', 'ryan')	 supp: 0.11%
('black non hispanic', 'male', 'ryan')	 supp: 0.11%
('2018', 'matthew')	 supp: 0.11%
('2012', 'mia')	 supp: 0.11%
('2017', 'ava')	 supp: 0.11%
('2018', 'male', 'matthew')	 supp: 0.11%
('2012', 'female', 'mia')	 supp: 0.11%
('2017', 'ava', 'female')	 supp: 0.11%
('2011', 'christopher')	 supp: 0.11%
('2011', 'christopher', 'male')	 supp: 0.11%
('2012', 'anthony')	 supp: 0.11%
('asian and pacific islander', 'hannah')	 supp: 0.11%
('2012', 'anthony', 'male')	 supp: 0.11%
('asian and pacific islander', 'female', 'hannah')	 supp: 0.11%
('adam', 'asian and pacific islander')	 supp: 0.11%
('adam', 'asian and pacific islander', 'male')	 supp: 0.11%
('2013', 'aiden')	 supp: 0.11%
('asian and pacific islander', 'owen')	 supp: 0.11%
('2013', 'aiden', 'male')	 supp: 0.11%
('asian and pacific islander', 'male', 'owen')	 supp: 0.11%
('benjamin', 'hispanic')	 supp: 0.11%
('benjamin', 'hispanic', 'male')	 supp: 0.11%
('2017', 'michael')	 supp: 0.11%
('2011', 'hispanic', 'jayden')	 supp: 0.11%
('2017', 'male', 'michael')	 supp: 0.11%
('2011', 'hispanic', 'jayden', 'male')	 supp: 0.11%
('2012', 'joshua')	 supp: 0.11%
('malachi', 'male')	 supp: 0.11%
('black non hispanic', 'malachi')	 supp: 0.11%
('lucy', 'white non hispanic')	 supp: 0.11%
('2012', 'joshua', 'male')	 supp: 0.11%
('black non hispanic', 'malachi', 'male')	 supp: 0.11%
('female', 'lucy', 'white non hispanic')	 supp: 0.11%
('2013', 'emily')	 supp: 0.11%
('2015', 'ryan')	 supp: 0.11%
('2019', 'aiden')	 supp: 0.11%
('female', 'gabriela')	 supp: 0.11%
('gabriela', 'hispanic')	 supp: 0.11%
('2013', 'emily', 'female')	 supp: 0.11%
('2015', 'male', 'ryan')	 supp: 0.11%
('2019', 'aiden', 'male')	 supp: 0.11%
('female', 'gabriela', 'hispanic')	 supp: 0.11%
('2019', 'hispanic', 'liam')	 supp: 0.11%
('2019', 'hispanic', 'liam', 'male')	 supp: 0.11%
('2016', 'joseph')	 supp: 0.1%
('2016', 'joseph', 'male')	 supp: 0.1%
('2019', 'daniel')	 supp: 0.1%
('2017', 'ryan')	 supp: 0.1%
('2019', 'daniel', 'male')	 supp: 0.1%
('2017', 'male', 'ryan')	 supp: 0.1%
('black non hispanic', 'jordan')	 supp: 0.1%
('black non hispanic', 'cameron')	 supp: 0.1%
('cameron', 'male')	 supp: 0.1%
('black non hispanic', 'cameron', 'male')	 supp: 0.1%
('2011', 'mia')	 supp: 0.1%
('2011', 'emma')	 supp: 0.1%
('hispanic', 'jade')	 supp: 0.1%
('2011', 'female', 'mia')	 supp: 0.1%
('2011', 'emma', 'female')	 supp: 0.1%
('female', 'hispanic', 'jade')	 supp: 0.1%
('2019', 'michael')	 supp: 0.1%
('asian and pacific islander', 'samuel')	 supp: 0.1%
('2019', 'male', 'michael')	 supp: 0.1%
('asian and pacific islander', 'male', 'samuel')	 supp: 0.1%
('2012', 'justin')	 supp: 0.1%
('2018', 'daniel')	 supp: 0.1%
('2012', 'justin', 'male')	 supp: 0.1%
('2018', 'daniel', 'male')	 supp: 0.1%
('amelia', 'asian and pacific islander')	 supp: 0.1%
('male', 'vincent')	 supp: 0.1%
('amelia', 'asian and pacific islander', 'female')	 supp: 0.1%
('2015', 'sebastian')	 supp: 0.1%
('2019', 'david')	 supp: 0.1%
('2015', 'male', 'sebastian')	 supp: 0.1%
('2019', 'david', 'male')	 supp: 0.1%
('kaiden', 'male')	 supp: 0.1%
('black non hispanic', 'kaiden')	 supp: 0.1%
('chelsea', 'female')	 supp: 0.1%
('black non hispanic', 'kaiden', 'male')	 supp: 0.1%
('2018', 'dylan')	 supp: 0.1%
('2018', 'alexander')	 supp: 0.1%
('angela', 'female')	 supp: 0.1%
('hispanic', 'penelope')	 supp: 0.1%
('nora', 'white non hispanic')	 supp: 0.1%
('2018', 'dylan', 'male')	 supp: 0.1%
('2018', 'alexander', 'male')	 supp: 0.1%
('female', 'hispanic', 'penelope')	 supp: 0.1%
('female', 'nora', 'white non hispanic')	 supp: 0.1%
('2015', 'mason')	 supp: 0.1%
('2015', 'male', 'mason')	 supp: 0.1%
('2017', 'hispanic', 'liam')	 supp: 0.1%
('2017', 'hispanic', 'liam', 'male')	 supp: 0.1%
('2017', 'alexander')	 supp: 0.1%
('2017', 'alexander', 'male')	 supp: 0.1%
('2011', 'emily')	 supp: 0.1%
('female', 'taylor')	 supp: 0.1%
('2011', 'emily', 'female')	 supp: 0.1%
('2019', 'matthew')	 supp: 0.1%
('2015', 'leah')	 supp: 0.1%
('2015', 'james')	 supp: 0.1%
('2019', 'male', 'matthew')	 supp: 0.1%
('2015', 'female', 'leah')	 supp: 0.1%
('2015', 'james', 'male')	 supp: 0.1%
('2013', 'joshua')	 supp: 0.1%
('black non hispanic', 'matthew')	 supp: 0.1%
('2013', 'joshua', 'male')	 supp: 0.1%
('black non hispanic', 'male', 'matthew')	 supp: 0.1%
('adriana', 'female')	 supp: 0.1%



==High-confidence association rules (min_conf=50.0%)==
('2011', 'michael') ===> ('male',)	 conf: 100.0% 	 supp: 0.15%
('christian',) ===> ('male',)	 conf: 100.0% 	 supp: 0.43%
('adam', 'asian and pacific islander') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('2013', 'olivia') ===> ('female',)	 conf: 100.0% 	 supp: 0.12%
('hannah',) ===> ('female',)	 conf: 100.0% 	 supp: 0.34%
('ariana',) ===> ('female',)	 conf: 100.0% 	 supp: 0.27%
('2018', 'liam') ===> ('male',)	 conf: 100.0% 	 supp: 0.19%
('daniela',) ===> ('hispanic',)	 conf: 100.0% 	 supp: 0.12%
('aiden', 'hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.4%
('emily',) ===> ('female',)	 conf: 100.0% 	 supp: 0.84%
('2016', 'matthew') ===> ('male',)	 conf: 100.0% 	 supp: 0.13%
('asian and pacific islander', 'chloe') ===> ('female',)	 conf: 100.0% 	 supp: 0.25%
('eli', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.2%
('zion',) ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('tristan',) ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('2017', 'lucas') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('asian and pacific islander', 'michael') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('2017', 'liam') ===> ('male',)	 conf: 100.0% 	 supp: 0.18%
('asian and pacific islander', 'matthew') ===> ('male',)	 conf: 100.0% 	 supp: 0.16%
('stella',) ===> ('female',)	 conf: 100.0% 	 supp: 0.2%
('joshua',) ===> ('male',)	 conf: 100.0% 	 supp: 0.74%
('ian',) ===> ('male',)	 conf: 100.0% 	 supp: 0.32%
('2012', 'joseph') ===> ('male',)	 conf: 100.0% 	 supp: 0.13%
('jackson', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.16%
('2014', 'olivia') ===> ('female',)	 conf: 100.0% 	 supp: 0.13%
('2013', 'aiden') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('2016', 'liam') ===> ('male',)	 conf: 100.0% 	 supp: 0.17%
('max',) ===> ('male',)	 conf: 100.0% 	 supp: 0.28%
('kevin',) ===> ('male',)	 conf: 100.0% 	 supp: 0.43%
('2019', 'liam') ===> ('male',)	 conf: 100.0% 	 supp: 0.19%
('michelle',) ===> ('female',)	 conf: 100.0% 	 supp: 0.16%
('faigy',) ===> ('female',)	 conf: 100.0% 	 supp: 0.17%
('2013', 'matthew') ===> ('male',)	 conf: 100.0% 	 supp: 0.13%
('anthony',) ===> ('male',)	 conf: 100.0% 	 supp: 0.74%
('anna',) ===> ('female',)	 conf: 100.0% 	 supp: 0.26%
('asian and pacific islander', 'daniel') ===> ('male',)	 conf: 100.0% 	 supp: 0.21%
('joseph',) ===> ('male',)	 conf: 100.0% 	 supp: 1.0%
('isaac',) ===> ('male',)	 conf: 100.0% 	 supp: 0.58%
('2014', 'ryan') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('asian and pacific islander', 'justin') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('elizabeth', 'hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.14%
('ariana', 'hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.17%
('2012', 'jayden') ===> ('male',)	 conf: 100.0% 	 supp: 0.18%
('violet',) ===> ('female',)	 conf: 100.0% 	 supp: 0.11%
('2018', 'mia') ===> ('female',)	 conf: 100.0% 	 supp: 0.11%
('asian and pacific islander', 'henry') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('2019', 'hispanic', 'liam') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('hispanic', 'sofia') ===> ('female',)	 conf: 100.0% 	 supp: 0.37%
('2012', 'justin') ===> ('male',)	 conf: 100.0% 	 supp: 0.1%
('adrian', 'hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.3%
('moshe', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.48%
('abigail',) ===> ('female',)	 conf: 100.0% 	 supp: 0.63%
('alexander',) ===> ('male',)	 conf: 100.0% 	 supp: 1.06%
('2012', 'david') ===> ('male',)	 conf: 100.0% 	 supp: 0.14%
('london',) ===> ('female',)	 conf: 100.0% 	 supp: 0.12%
('charlotte', 'white non hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.32%
('gabriel', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.23%
('naomi',) ===> ('female',)	 conf: 100.0% 	 supp: 0.17%
('lily',) ===> ('female',)	 conf: 100.0% 	 supp: 0.24%
('2011', 'ethan') ===> ('male',)	 conf: 100.0% 	 supp: 0.17%
('2014', 'mia') ===> ('female',)	 conf: 100.0% 	 supp: 0.13%
('2013', 'ryan') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('2015', 'sophia') ===> ('female',)	 conf: 100.0% 	 supp: 0.13%
('white non hispanic', 'zachary') ===> ('male',)	 conf: 100.0% 	 supp: 0.16%
('vivian',) ===> ('female',)	 conf: 100.0% 	 supp: 0.12%
('2011', 'christopher') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('2012', 'ryan') ===> ('male',)	 conf: 100.0% 	 supp: 0.14%
('2014', 'noah') ===> ('male',)	 conf: 100.0% 	 supp: 0.15%
('hispanic', 'leah') ===> ('female',)	 conf: 100.0% 	 supp: 0.24%
('chase',) ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('2018', 'noah') ===> ('male',)	 conf: 100.0% 	 supp: 0.16%
('samuel', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.36%
('2013', 'liam') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('ashley',) ===> ('female',)	 conf: 100.0% 	 supp: 0.38%
('2017', 'ethan') ===> ('male',)	 conf: 100.0% 	 supp: 0.13%
('asian and pacific islander', 'lucas') ===> ('male',)	 conf: 100.0% 	 supp: 0.29%
('jade',) ===> ('female',)	 conf: 100.0% 	 supp: 0.15%
('2011', 'emily') ===> ('female',)	 conf: 100.0% 	 supp: 0.1%
('malachi',) ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('victoria',) ===> ('female',)	 conf: 100.0% 	 supp: 0.57%
('2011', 'jacob') ===> ('male',)	 conf: 100.0% 	 supp: 0.17%
('2019', 'david') ===> ('male',)	 conf: 100.0% 	 supp: 0.1%
('elias', 'hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.19%
('hispanic', 'jade') ===> ('female',)	 conf: 100.0% 	 supp: 0.1%
('ethan', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.3%
('2015', 'emma') ===> ('female',)	 conf: 100.0% 	 supp: 0.13%
('asian and pacific islander', 'muhammad') ===> ('male',)	 conf: 100.0% 	 supp: 0.27%
('arianna',) ===> ('female',)	 conf: 100.0% 	 supp: 0.24%
('moshe',) ===> ('male',)	 conf: 100.0% 	 supp: 0.54%
('male', 'zion') ===> ('black non hispanic',)	 conf: 100.0% 	 supp: 0.11%
('juan',) ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('samantha',) ===> ('female',)	 conf: 100.0% 	 supp: 0.34%
('hispanic', 'mia') ===> ('female',)	 conf: 100.0% 	 supp: 0.51%
('abraham', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.3%
('leah', 'white non hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.41%
('scarlett',) ===> ('female',)	 conf: 100.0% 	 supp: 0.28%
('2014', 'jayden') ===> ('male',)	 conf: 100.0% 	 supp: 0.14%
('2019', 'noah') ===> ('male',)	 conf: 100.0% 	 supp: 0.16%
('asian and pacific islander', 'benjamin') ===> ('male',)	 conf: 100.0% 	 supp: 0.13%
('asian and pacific islander', 'charlotte') ===> ('female',)	 conf: 100.0% 	 supp: 0.11%
('hispanic', 'joshua') ===> ('male',)	 conf: 100.0% 	 supp: 0.31%
('chloe', 'hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.14%
('zion',) ===> ('black non hispanic',)	 conf: 100.0% 	 supp: 0.11%
('asian and pacific islander', 'leo') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('camila', 'hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.39%
('charles', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.27%
('raizy', 'white non hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.13%
('george', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('asian and pacific islander', 'grace') ===> ('female',)	 conf: 100.0% 	 supp: 0.12%
('maria',) ===> ('female',)	 conf: 100.0% 	 supp: 0.15%
('asian and pacific islander', 'samuel') ===> ('male',)	 conf: 100.0% 	 supp: 0.1%
('juan',) ===> ('hispanic',)	 conf: 100.0% 	 supp: 0.11%
('amelia', 'hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.13%
('matthew',) ===> ('male',)	 conf: 100.0% 	 supp: 1.16%
('ryan', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.29%
('amelia',) ===> ('female',)	 conf: 100.0% 	 supp: 0.49%
('emma',) ===> ('female',)	 conf: 100.0% 	 supp: 1.12%
('2019', 'olivia') ===> ('female',)	 conf: 100.0% 	 supp: 0.11%
('hispanic', 'xavier') ===> ('male',)	 conf: 100.0% 	 supp: 0.15%
('hispanic', 'samantha') ===> ('female',)	 conf: 100.0% 	 supp: 0.21%
('yehuda',) ===> ('male',)	 conf: 100.0% 	 supp: 0.19%
('2018', 'alexander') ===> ('male',)	 conf: 100.0% 	 supp: 0.1%
('asher', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('2016', 'sophia') ===> ('female',)	 conf: 100.0% 	 supp: 0.14%
('2012', 'anthony') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('camila',) ===> ('female',)	 conf: 100.0% 	 supp: 0.39%
('2015', 'lucas') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('2015', 'olivia') ===> ('female',)	 conf: 100.0% 	 supp: 0.15%
('black non hispanic', 'chloe') ===> ('female',)	 conf: 100.0% 	 supp: 0.12%
('hispanic', 'jeremy') ===> ('male',)	 conf: 100.0% 	 supp: 0.22%
('2019', 'emma') ===> ('female',)	 conf: 100.0% 	 supp: 0.12%
('aiden', 'asian and pacific islander') ===> ('male',)	 conf: 100.0% 	 supp: 0.27%
('amaya',) ===> ('female',)	 conf: 100.0% 	 supp: 0.12%
('david',) ===> ('male',)	 conf: 100.0% 	 supp: 1.15%
('christopher', 'hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.34%
('david', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.56%
('hispanic', 'kimberly') ===> ('female',)	 conf: 100.0% 	 supp: 0.16%
('king', 'male') ===> ('black non hispanic',)	 conf: 100.0% 	 supp: 0.12%
('hispanic', 'sophia') ===> ('female',)	 conf: 100.0% 	 supp: 0.54%
('black non hispanic', 'london') ===> ('female',)	 conf: 100.0% 	 supp: 0.12%
('black non hispanic', 'cameron') ===> ('male',)	 conf: 100.0% 	 supp: 0.1%
('2015', 'dylan') ===> ('male',)	 conf: 100.0% 	 supp: 0.13%
('black non hispanic', 'christian') ===> ('male',)	 conf: 100.0% 	 supp: 0.15%
('valentina',) ===> ('female',)	 conf: 100.0% 	 supp: 0.3%
('aria',) ===> ('female',)	 conf: 100.0% 	 supp: 0.21%
('2015', 'joseph') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('chloe',) ===> ('female',)	 conf: 100.0% 	 supp: 0.73%
('asian and pacific islander', 'oliver') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('2011', 'joseph') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('asian and pacific islander', 'james') ===> ('male',)	 conf: 100.0% 	 supp: 0.13%
('2012', 'matthew') ===> ('male',)	 conf: 100.0% 	 supp: 0.15%
('gabriela',) ===> ('hispanic',)	 conf: 100.0% 	 supp: 0.11%
('asian and pacific islander', 'ethan') ===> ('male',)	 conf: 100.0% 	 supp: 0.37%
('bella',) ===> ('female',)	 conf: 100.0% 	 supp: 0.24%
('hispanic', 'jose') ===> ('male',)	 conf: 100.0% 	 supp: 0.23%
('vincent',) ===> ('male',)	 conf: 100.0% 	 supp: 0.1%
('2016', 'noah') ===> ('male',)	 conf: 100.0% 	 supp: 0.16%
('steven',) ===> ('male',)	 conf: 100.0% 	 supp: 0.14%
('chana',) ===> ('female',)	 conf: 100.0% 	 supp: 0.32%
('2015', 'aiden') ===> ('male',)	 conf: 100.0% 	 supp: 0.13%
('julian', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.17%
('carter',) ===> ('male',)	 conf: 100.0% 	 supp: 0.16%
('aiden', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.16%
('hispanic', 'mason') ===> ('male',)	 conf: 100.0% 	 supp: 0.37%
('2018', 'david') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('emily', 'white non hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.27%
('2018', 'daniel') ===> ('male',)	 conf: 100.0% 	 supp: 0.1%
('nicole',) ===> ('female',)	 conf: 100.0% 	 supp: 0.2%
('chase',) ===> ('black non hispanic',)	 conf: 100.0% 	 supp: 0.12%
('black non hispanic', 'jeremiah') ===> ('male',)	 conf: 100.0% 	 supp: 0.25%
('sarah',) ===> ('female',)	 conf: 100.0% 	 supp: 0.7%
('jeremiah',) ===> ('male',)	 conf: 100.0% 	 supp: 0.45%
('asian and pacific islander', 'owen') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('muhammad',) ===> ('male',)	 conf: 100.0% 	 supp: 0.31%
('2012', 'dylan') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('grace',) ===> ('female',)	 conf: 100.0% 	 supp: 0.42%
('alexander', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.41%
('2015', 'jacob') ===> ('male',)	 conf: 100.0% 	 supp: 0.16%
('hispanic', 'nicholas') ===> ('male',)	 conf: 100.0% 	 supp: 0.19%
('hispanic', 'valerie') ===> ('female',)	 conf: 100.0% 	 supp: 0.12%
('sophie',) ===> ('female',)	 conf: 100.0% 	 supp: 0.22%
('taylor',) ===> ('female',)	 conf: 100.0% 	 supp: 0.1%
('eleanor', 'white non hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.12%
('2013', 'jacob') ===> ('male',)	 conf: 100.0% 	 supp: 0.16%
('genesis', 'hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.21%
('carlos',) ===> ('hispanic',)	 conf: 100.0% 	 supp: 0.18%
('2017', 'joseph') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('jacob', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.49%
('gabriella',) ===> ('female',)	 conf: 100.0% 	 supp: 0.37%
('black non hispanic', 'justin') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('kaiden', 'male') ===> ('black non hispanic',)	 conf: 100.0% 	 supp: 0.1%
('2014', 'dylan') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('aaron',) ===> ('male',)	 conf: 100.0% 	 supp: 0.67%
('luke',) ===> ('male',)	 conf: 100.0% 	 supp: 0.26%
('amy', 'hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.15%
('kimberly',) ===> ('female',)	 conf: 100.0% 	 supp: 0.17%
('sarah', 'white non hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.39%
('2013', 'joseph') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('genesis',) ===> ('female',)	 conf: 100.0% 	 supp: 0.26%
('hispanic', 'madison') ===> ('female',)	 conf: 100.0% 	 supp: 0.22%
('2016', 'dylan') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('theodore', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.24%
('black non hispanic', 'skylar') ===> ('female',)	 conf: 100.0% 	 supp: 0.13%
('2014', 'emma') ===> ('female',)	 conf: 100.0% 	 supp: 0.12%
('asian and pacific islander', 'sophia') ===> ('female',)	 conf: 100.0% 	 supp: 0.25%
('jack', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.39%
('melanie',) ===> ('female',)	 conf: 100.0% 	 supp: 0.22%
('isaac', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.25%
('2019', 'ethan') ===> ('male',)	 conf: 100.0% 	 supp: 0.13%
('black non hispanic', 'carter') ===> ('male',)	 conf: 100.0% 	 supp: 0.15%
('miriam',) ===> ('female',)	 conf: 100.0% 	 supp: 0.35%
('2016', 'olivia') ===> ('female',)	 conf: 100.0% 	 supp: 0.14%
('isaiah',) ===> ('male',)	 conf: 100.0% 	 supp: 0.23%
('dylan', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.23%
('black non hispanic', 'jacob') ===> ('male',)	 conf: 100.0% 	 supp: 0.13%
('nathan',) ===> ('male',)	 conf: 100.0% 	 supp: 0.52%
('2017', 'noah') ===> ('male',)	 conf: 100.0% 	 supp: 0.16%
('alyssa',) ===> ('female',)	 conf: 100.0% 	 supp: 0.16%
('adam', 'white non hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.32%
('2013', 'mason') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('white non hispanic', 'william') ===> ('male',)	 conf: 100.0% 	 supp: 0.36%
('christian', 'hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.21%
('ava', 'hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.19%
('2018', 'ethan') ===> ('male',)	 conf: 100.0% 	 supp: 0.14%
('joel',) ===> ('male',)	 conf: 100.0% 	 supp: 0.14%
('emmanuel',) ===> ('male',)	 conf: 100.0% 	 supp: 0.16%
('black non hispanic', 'zion') ===> ('male',)	 conf: 100.0% 	 supp: 0.11%
('2014', 'aiden') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('kaylee',) ===> ('female',)	 conf: 100.0% 	 supp: 0.26%
('adriana',) ===> ('female',)	 conf: 100.0% 	 supp: 0.1%
('eva', 'white non hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.13%
('malachi',) ===> ('black non hispanic',)	 conf: 100.0% 	 supp: 0.11%
('layla',) ===> ('female',)	 conf: 100.0% 	 supp: 0.28%
('asher',) ===> ('male',)	 conf: 100.0% 	 supp: 0.17%
('zachary',) ===> ('male',)	 conf: 100.0% 	 supp: 0.27%
('2019', 'jacob') ===> ('male',)	 conf: 100.0% 	 supp: 0.12%
('asian and pacific islander', 'mia') ===> ('female',)	 conf: 100.0% 	 supp: 0.17%
('ethan',) ===> ('male',)	 conf: 100.0% 	 supp: 1.47%
('andrew', 'hispanic') ===> ('male',)	 conf: 100.0% 	 supp: 0.18%
('noah',) ===> ('male',)	 conf: 100.0% 	 supp: 1.29%
('2011', 'matthew') ===> ('male',)	 conf: 100.0% 	 supp: 0.15%
('gabriela', 'hispanic') ===> ('female',)	 conf: 100.0% 	 supp: 0.11%
('2012', 'daniel') ===> ('male',)	 conf: 100.0% 	 supp: 0.16%
('andrew',) ===> ('male',)	 conf: 100.0% 	 supp: 0.56%
('2016', 'joseph') ===> ('male',)	 conf: 100.0% 	 supp: 0.1%
('camila',) ===> ('hispanic',)	 conf: 100.0% 	 supp: 0.39%
